"id","feed_id","first_name","last_name","team","pos","avg","adp","rank"
695,"297373","Marcus","Bontempelli","WBD","MID",129.65,1.9794,1
706,"1004592","Tim","English","WBD","RUC",127.96,3.4312,2
138,"1023261","Nick","Daicos","COL","DEF/MID",116.3,4.3006,3
459,"298210","Christian","Petracca","MEL","MID",119.48,5.4165,4
20,"293222","Rory","Laird","ADE","MID",116.86,9.4667,5
458,"996701","Clayton","Oliver","MEL","MID",120.62,10.7411,6
197,"992016","Zach","Merrett","ESS","MID",116.32,11.3685,7
9,"992242","Jordan","Dawson","ADE","MID",115.87,11.4782,8
425,"297566","James","Sicily","HAW","DEF",114.05,11.7737,9
526,"1006121","Zak","Butters","PTA","MID",113.83,12.9856,10
629,"992468","Rowan","Marshall","STK","RUC",114.35,13.0062,11
663,"1013128","Errol","Gulden","SYD","MID",111.3,14.1701,12
342,"291800","Tom","Stewart","GEE","DEF",113.68,15.1054,13
717,"290799","Tom","Liberatore","WBD","MID",116.05,16.659,14
54,"993834","Josh","Dunkley","BRL","MID",115.24,16.9271,15
362,"1009528","Tom","Green","GWS","MID",111.21,18.5821,16
443,"290528","Max","Gawn","MEL","RUC",104.45,19.2759,17
483,"1002267","Luke","Davies-Uniacke","NTH","MID",113.64,19.4736,18
242,"1009420","Caleb","Serong","FRE","MID",111.23,21.19,19
72,"293535","Lachie","Neale","BRL","MID",110.39,23.5672,20
241,"998659","Luke","Ryan","FRE","DEF",109.48,24.1343,21
639,"994389","Jack","Sinclair","STK","DEF",106.7,24.7743,22
215,"1002232","Andrew","Brayshaw","FRE","MID",108.96,25.3256,23
552,"1001299","Connor","Rozee","PTA","MID",107.57,27.9091,24
126,"1006094","Sam","Walsh","CAR","MID",103.2,29.6541,25
719,"295467","Jack","Macrae","WBD","MID/FWD",99.91,29.6556,26
350,"1008436","Kieren","Briggs","GWS","RUC",108.93,31.0249,27
537,"994295","Dan","Houston","PTA","DEF",106.13,31.85,28
198,"993817","Darcy","Parish","ESS","MID",108.11,33.372,29
601,"998172","Tim","Taranto","RIC","MID",106.65,34.4538,30
301,"291975","Jarrod","Witts","GCS","RUC",106.14,34.8004,31
93,"1002239","Adam","Cerra","CAR","MID",108.32,35.4078,32
509,"1023518","Harry","Sheezel","NTH","DEF",99.52,35.525,33
230,"1009399","Luke","Jackson","FRE","RUC/FWD",97.87,35.5282,34
257,"1009199","Noah","Anderson","GCS","MID",104.91,38.3596,35
221,"998145","Sean","Darcy","FRE","RUC",105.47,38.4797,36
730,"291790","Adam","Treloar","WBD","MID",107.68,41.8075,37
286,"298272","Touk","Miller","GCS","MID",97.62,44.6902,38
566,"993993","Shai","Bolton","RIC","MID/FWD",96.74,44.9584,39
255,"1009256","Hayden","Young","FRE","DEF",93.95,45.0066,40
99,"996731","Charlie","Curnow","CAR","FWD",97.57,45.7942,41
662,"293957","Brodie","Grundy","SYD","RUC",86.24,47.1203,42
120,"297907","Nic","Newman","CAR","DEF",100.19,47.8523,43
293,"1009208","Matt","Rowell","GCS","MID",102.3,48.2778,44
598,"992049","Jayden","Short","RIC","DEF",98.63,48.4423,45
372,"296347","Josh","Kelly","GWS","MID",101.63,49.0659,46
690,"1012014","Chad","Warner","SYD","MID",100.25,49.9836,47
762,"295898","Tim","Kelly","WCE","MID",102.73,50.5244,48
355,"291969","Stephen","Coniglio","GWS","MID",101.7,50.8528,49
590,"298174","Toby","Nankervis","RIC","RUC",104.33,51.1224,50
585,"290847","Dustin","Martin","RIC","FWD",94.35,52.1938,51
418,"1020895","Jai","Newcombe","HAW","MID",98.27,53.0869,52
202,"1001026","Jordan","Ridley","ESS","DEF",94.88,54.8556,53
273,"1009260","Sam","Flanders","GCS","MID/FWD",88.43,55.145,54
97,"990704","Patrick","Cripps","CAR","MID",97.52,55.265,55
137,"1005054","Josh","Daicos","COL","MID",99.09,55.2956,56
363,"295344","Toby","Greene","GWS","FWD",91,55.7324,57
703,"295136","Caleb","Daniel","WBD","MID/FWD",92.83,56.0719,58
101,"295518","Sam","Docherty","CAR","MID",100.6,57.3821,59
671,"295342","Jake","Lloyd","SYD","DEF",95.77,58.3082,60
640,"296205","Jack","Steele","STK","MID",94.75,58.628,61
139,"994185","Jordan","De Goey","COL","MID",96.61,59.9282,62
389,"294305","Lachie","Whitfield","GWS","DEF",92.86,61.1806,63
474,"291902","Jack","Viney","MEL","MID",100.14,61.801,64
415,"1006314","Dylan","Moore","HAW","FWD",91,67.2845,65
27,"297523","Reilly","O'Brien","ADE","RUC",95.78,67.311,66
645,"296422","Callum","Wilkie","STK","DEF",94.22,68.1045,67
397,"1008550","Will","Day","HAW","MID",97.43,70.119,68
615,"294307","Brad","Crouch","STK","MID",97.52,71.0153,69
200,"997078","Mason","Redman","ESS","DEF",90.87,74.0047,70
682,"290778","Luke","Parker","SYD","MID",96.86,74.389,71
666,"298539","Isaac","Heeney","SYD","FWD",86.55,75.1407,72
702,"996708","Bailey","Dale","WBD","DEF",90.83,77.1301,73
436,"298279","Angus","Brayshaw","MEL","DEF/MID",89.83,77.2488,74
160,"298288","Darcy","Moore","COL","DEF",90.52,77.896,75
67,"1000978","Hugh","McCluggage","BRL","MID",93.73,78.64,76
159,"291856","Tom","Mitchell","COL","MID",94.65,79.4579,77
307,"293845","Jeremy","Cameron","GEE","FWD",82.8,79.5022,78
289,"1007881","Wil","Powell","GCS","DEF",91.89,80.1068,79
770,"1023492","Harley","Reid","WCE","MID/FWD",0,81.9105,80
41,"280506","Taylor","Walker","ADE","FWD",89.55,82.1253,81
652,"1006028","Nick","Blakey","SYD","DEF",89.39,82.1436,82
603,"294674","Nick","Vlastuin","RIC","DEF",92.1,82.6156,83
304,"296733","Mark","Blicavs","GEE","RUC/MID",91.58,84.4433,84
68,"1005521","Oscar","McInerney","BRL","RUC",94.36,85.016,85
124,"295461","Adam","Saad","CAR","DEF",89.59,86.0923,86
643,"1015507","Nasiah","Wanganeen-Milera","STK","DEF",85.13,87.8093,87
163,"260257","Scott","Pendlebury","COL","MID",93.95,87.9753,88
180,"271129","Todd","Goldstein","ESS","RUC",95.45,88.313,89
315,"281065","Mitch","Duncan","GEE","DEF",90.31,88.608,90
749,"298268","Liam","Duggan","WCE","DEF",90.09,89.4339,91
649,"291776","Taylor","Adams","SYD","MID/FWD",78.23,89.5835,92
133,"990291","Darcy","Cameron","COL","RUC",92.19,89.8495,93
193,"1012013","Nic","Martin","ESS","MID",88.17,90.6167,94
648,"295340","Mason","Wood","STK","MID",92.96,91.4237,95
44,"996059","Harris","Andrews","BRL","DEF",89.09,94.7678,96
7,"297401","Matt","Crouch","ADE","MID",97.57,94.8631,97
594,"1000981","Daniel","Rioli","RIC","DEF",86.91,97.4022,98
86,"261224","Dayne","Zorko","BRL","MID/FWD",86,97.806,99
31,"1001195","Izak","Rankine","ADE","FWD",82.6,99.0093,100
562,"1000223","Liam","Baker","RIC","DEF/FWD",79.74,99.6244,101
432,"1002222","James","Worpel","HAW","MID",89.96,100.815,102
679,"993905","Callum","Mills","SYD","MID",87.74,101.537,103
136,"293871","Jack","Crisp","COL","MID",89.22,101.608,104
194,"998102","Andrew","McGrath","ESS","DEF",86.87,103.265,105
530,"280711","Charlie","Dixon","PTA","FWD",87.69,103.565,106
752,"993902","Matt","Flynn","WCE","RUC",88,106,107
312,"270917","Patrick","Dangerfield","GEE","MID",87.72,106.48,108
768,"1020032","Loch","Rawlinson","WCE","MID/FWD",0,106.609,109
390,"297354","Karl","Amon","HAW","MID",86.48,106.617,110
725,"1008280","Ed","Richards","WBD","DEF",86.21,106.623,111
515,"1005729","Tarryn","Thomas","NTH","MID",90.25,106.661,112
560,"294318","Ollie","Wines","PTA","MID",82.96,107.813,113
534,"298111","Jeremy","Finlayson","PTA","FWD",85.1,107.869,114
220,"997033","Brennan","Cox","FRE","DEF",87.85,108.74,115
763,"1028291","Coen","Livingstone","WCE","RUC/FWD",0,109.5,116
633,"1023272","Mitch","Owens","STK","FWD",79.68,109.776,117
19,"993946","Ben","Keays","ADE","FWD",80.61,110.536,118
51,"1006059","Keidean","Coleman","BRL","DEF",71.35,111.333,119
52,"294518","Joe","Daniher","BRL","FWD",82.65,112.464,120
462,"1009378","Trent","Rivers","MEL","DEF",84.83,114.712,121
367,"993107","Harry","Himmelberg","GWS","DEF",80.59,116.09,122
331,"1004938","Gryan","Miers","GEE","FWD",80.78,116.316,123
228,"291570","Nat","Fyfe","FRE","MID/FWD",50.67,116.927,124
47,"1002312","Zac","Bailey","BRL","MID/FWD",77.71,117.156,125
87,"296294","Blake","Acres","CAR","MID",87.5,118.27,126
555,"998529","Ivan","Soldo","PTA","RUC",86.88,118.522,127
302,"994386","Tom","Atkins","GEE","MID",87.04,118.821,128
728,"1006130","Bailey","Smith","WBD","MID/FWD",80.26,119.526,129
403,"993794","Blake","Hardwick","HAW","DEF",86.17,119.758,130
778,"998128","Alex","Witherden","WCE","DEF",84.5,120.292,131
46,"1023517","Will","Ashcroft","BRL","MID",84.5,120.598,132
127,"993832","Jacob","Weitering","CAR","DEF",85.09,120.901,133
16,"1004863","Mitchell","Hinge","ADE","DEF",84.86,121.081,134
779,"292128","Elliot","Yeo","WCE","DEF/MID",80,121.141,135
167,"1000860","Lachie","Schultz","COL","FWD",79.13,122.241,136
384,"1005247","Sam","Taylor","GWS","DEF",83.73,122.279,137
536,"1011640","Jason","Horne-Francis","PTA","MID",77.64,122.286,138
503,"1024272","Colby","McKercher","NTH","MID",0,123.135,139
348,"1009253","Lachie","Ash","GWS","DEF",83.83,123.83,140
451,"281085","Steven","May","MEL","DEF",83.9,124.537,141
173,"1006103","Jye","Caldwell","ESS","MID/FWD",78.19,126.898,142
319,"290550","Cameron","Guthrie","GEE","MID",83.67,126.927,143
218,"1006152","Jordan","Clark","FRE","DEF",82.48,128.393,144
755,"1024188","Clay","Hall","WCE","MID",0,129,145
531,"1000972","Willem","Drew","PTA","MID",85.35,130.301,146
511,"993998","Jy","Simpkin","NTH","MID",79.33,130.37,147
417,"1007124","Conor","Nash","HAW","MID",86,130.376,148
190,"298630","Kyle","Langford","ESS","FWD",79.09,131.465,149
30,"1017051","Josh","Rachele","ADE","FWD",73.95,131.891,150
128,"294685","Zac","Williams","CAR","DEF",0,133.009,151
204,"998215","Will","Setterfield","ESS","MID",85,133.87,152
766,"294859","Jeremy","McGovern","WCE","DEF",84.22,134.134,153
581,"993903","Jacob","Hopper","RIC","MID",78.63,136.109,154
168,"280965","Steele","Sidebottom","COL","MID",85.29,137.28,155
686,"1006126","James","Rowbottom","SYD","MID",83.65,137.831,156
488,"999827","Zac","Fisher","NTH","FWD",67.75,138.459,157
517,"1023477","George","Wardlaw","NTH","MID",65.38,140.538,158
322,"261510","Tom","Hawkins","GEE","FWD",78.45,142.46,159
154,"992010","Brayden","Maynard","COL","DEF",80.41,143.635,160
325,"1015889","Max","Holmes","GEE","MID",79.81,144.127,161
487,"1023494","Zane","Duursma","NTH","MID/FWD",0,144.508,162
518,"1004965","Tristan","Xerri","NTH","RUC",72.89,144.851,163
773,"296296","Dom","Sheed","WCE","MID",84.33,145.741,164
721,"1002404","Aaron","Naughton","WBD","FWD",75.13,146.274,165
36,"291748","Brodie","Smith","ADE","DEF",82.32,146.423,166
283,"1004095","Jack","Lukosius","GCS","FWD",76.05,147.027,167
300,"298524","Lachie","Weller","GCS","DEF",83.33,147.212,168
369,"1008083","Connor","Idun","GWS","DEF",81.22,147.641,169
726,"1017939","Ryley","Sanders","WBD","MID",0,149.223,170
256,"998130","Ben","Ainsworth","GCS","FWD",76.38,149.875,171
106,"294036","George","Hewett","CAR","MID",78.74,151.307,172
667,"1013409","James","Jordon","SYD","MID/FWD",49.29,151.444,173
592,"290627","Dion","Prestia","RIC","MID",81.25,152.082,174
409,"1017094","Connor","Macdonald","HAW","FWD",68.24,154.664,175
225,"1020695","Tom","Emmett","FRE","FWD",81.5,155.176,176
655,"1024057","Caiden","Cleary","SYD","MID",0,155.792,177
739,"990290","Tom","Barrass","WCE","DEF",80.07,156.941,178
277,"1023500","Bailey","Humphrey","GCS","FWD",59.26,157.038,179
164,"1008089","Isaac","Quaynor","COL","DEF",74.65,157.347,180
184,"290629","Dyson","Heppell","ESS","DEF",80.45,157.466,181
238,"294613","Jaeger","O'Meara","FRE","MID",80.38,157.583,182
8,"1024023","Daniel","Curtin","ADE","DEF/MID",0,158.126,183
430,"1027935","Josh","Weddle","HAW","DEF",66.88,158.182,184
711,"297899","James","Harmes","WBD","MID/FWD",46.22,159.785,185
177,"1005577","Sam","Draper","ESS","RUC",75.57,160.433,186
429,"1023473","Nick","Watson","HAW","MID/FWD",0,160.87,187
114,"297255","Mitch","McGovern","CAR","DEF",80.32,161.365,188
299,"1023736","Jed","Walter","GCS","FWD",0,161.576,189
502,"296355","Luke","McDonald","NTH","DEF",77.91,162.392,190
354,"1023266","Finn","Callaghan","GWS","MID",73.11,162.541,191
181,"298421","Jade","Gresham","ESS","FWD",66.77,162.983,192
152,"1012828","Finlay","Macrae","COL","FWD",39,164.336,193
100,"1004912","Tom","De Koning","CAR","RUC",73.69,164.701,194
498,"1001017","Nick","Larkey","NTH","FWD",69.43,164.734,195
162,"1000072","John","Noble","COL","DEF",79.96,165.249,196
368,"296324","Jesse","Hogan","GWS","FWD",75,165.5,197
244,"1027656","Cooper","Simpson","FRE","MID/FWD",0,165.788,198
567,"295203","Nathan","Broad","RIC","DEF",79.74,167.205,199
463,"296359","Christian","Salem","MEL","DEF",75.29,167.37,200
681,"996765","Tom","Papley","SYD","FWD",72.55,167.466,201
583,"293813","Tom","Lynch","RIC","FWD",64.25,167.852,202
50,"990609","Charlie","Cameron","BRL","FWD",72.3,168.008,203
352,"1009708","Jack","Buckley","GWS","DEF",78.78,168.916,204
776,"1006114","Bailey J.","Williams","WCE","RUC",76.91,169.228,205
434,"296351","Jack","Billings","MEL","FWD",62.33,170.564,206
336,"1027877","Connor","O'Sullivan","GEE","DEF",0,170.6,207
357,"1002251","Brent","Daniels","GWS","FWD",75.06,170.777,208
677,"1003203","Hayden","McLean","SYD","RUC/FWD",71.67,171.335,209
658,"998103","Oliver","Florent","SYD","DEF",75.39,171.408,210
330,"993878","Shaun","Mannagh","GEE","MID/FWD",0,172.359,211
405,"296254","Jarman","Impey","HAW","DEF",77.77,173.388,212
647,"1023270","Marcus","Windhager","STK","DEF/MID",57.83,173.826,213
23,"990882","Wayne","Milera","ADE","DEF",77.5,173.874,214
172,"1027899","Nate","Caddy","ESS","FWD",0,174.529,215
269,"293713","Brandon","Ellis","GCS","MID",78.75,174.708,216
508,"1006058","Bailey","Scott","NTH","MID",75.83,175.433,217
446,"294557","Lachie","Hunter","MEL","MID",77.73,176.036,218
356,"1001396","Isaac","Cumming","GWS","DEF/MID",69.35,176.975,219
142,"293801","Jamie","Elliott","COL","FWD",73.43,177.688,220
533,"1002253","Kane","Farrell","PTA","DEF",77.2,178.508,221
475,"1027821","Caleb","Windsor","MEL","MID/FWD",0,179.184,222
499,"1012852","Charlie","Lazzaro","NTH","MID/FWD",36,179.258,223
35,"270963","Rory","Sloane","ADE","MID",77,180.357,224
520,"294469","Aliir","Aliir","PTA","DEF",74.55,180.476,225
306,"1012805","Tanner","Bruhn","GEE","MID",68.79,181.093,226
48,"998133","Jarrod","Berry","BRL","MID",76.5,181.163,227
379,"998205","Harry","Perryman","GWS","DEF",73.63,181.164,228
151,"1003130","Patrick","Lipinski","COL","FWD",69.73,182.105,229
654,"1013133","Braeden","Campbell","SYD","DEF/MID",69.18,183.071,230
75,"1002235","Cam","Rayner","BRL","FWD",68.91,183.166,231
621,"1005988","Liam","Henry","STK","MID",71.88,183.252,232
186,"1017088","Ben","Hobbs","ESS","MID",74.06,183.531,233
736,"1004385","Oscar","Allen","WCE","FWD",69.52,184.136,234
407,"1000887","Mitch","Lewis","HAW","FWD",71.13,184.333,235
263,"1008454","Connor","Budarick","GCS","DEF",77,184.711,236
758,"994385","Jayden","Hunt","WCE","DEF",76.39,185.547,237
110,"1001398","Matthew","Kennedy","CAR","MID",75.14,186.076,238
754,"1023025","Reuben","Ginbey","WCE","MID",63.47,186.151,239
450,"298281","Jake","Lever","MEL","DEF",75.09,186.417,240
17,"1006203","Chayce","Jones","ADE","DEF/MID",73.61,189.609,241
115,"1000953","Harry","McKay","CAR","FWD",71.21,189.631,242
296,"290832","David","Swallow","GCS","MID",75.43,189.735,243
423,"998114","Jack","Scrimshaw","HAW","DEF",75.06,190.587,244
525,"992128","Ryan","Burton","PTA","DEF",76.3,191.291,245
37,"1017109","Jake","Soligo","ADE","MID",73.1,191.807,246
461,"1008541","Kysaiah","Pickett","MEL","FWD",68.38,193.493,247
428,"1017110","Josh","Ward","HAW","MID",72.94,193.545,248
731,"1009301","Jamarra","Ugle-Hagan","WBD","FWD",60.57,194.364,249
712,"294101","Jason","Johannisen","WBD","DEF",74.55,194.991,250
519,"998484","Cameron","Zurhaar","NTH","FWD",69.31,195.642,251
563,"1002245","Noah","Balta","RIC","DEF",74.3,196.206,252
42,"1011981","Josh","Worrell","ADE","DEF",74.5,196.816,253
596,"1006133","Jack","Ross","RIC","MID",74.68,196.864,254
623,"295584","Bradley","Hill","STK","MID/FWD",68.05,197.136,255
457,"296420","Alex","Neal-Bullen","MEL","FWD",72.04,197.393,256
635,"1020137","Mattaes","Phillipou","STK","FWD",51.43,198.59,257
683,"290307","Dane","Rampe","SYD","DEF",74.71,198.848,258
291,"1018123","Jake","Rogers","GCS","MID",0,198.889,259
295,"294643","Alex","Sexton","GCS","FWD",23.88,199.046,260
441,"1001438","Bayley","Fritsch","MEL","FWD",70.93,199.239,261
206,"293884","Jake","Stringer","ESS","FWD",64.71,199.5,262
199,"1015873","Archie","Perkins","ESS","FWD",66,200.208,263
505,"1012829","Will","Phillips","NTH","MID",73,200.954,264
386,"280109","Callan","Ward","GWS","MID",74.95,202.255,265
207,"1023785","Elijah","Tsatas","ESS","MID/FWD",55,203.145,266
320,"1004870","Zach","Guthrie","GEE","DEF",73.61,203.298,267
147,"291313","Jeremy","Howe","COL","DEF",71.27,203.614,268
212,"295067","James","Aish","FRE","MID",73.35,205.568,269
217,"1013224","Heath","Chapman","FRE","DEF",64.33,206.508,270
179,"1006096","Xavier","Duursma","ESS","MID",66.79,206.936,271
84,"1017067","Darcy","Wilmot","BRL","DEF",71.09,207.343,272
155,"1004757","Beau","McCreery","COL","FWD",53.77,209.04,273
216,"998129","Will","Brodie","FRE","MID",71.2,210.231,274
646,"1027875","Darcy","Wilson","STK","MID/FWD",0,211.452,275
250,"993940","Corey","Wagner","FRE","DEF",73.44,211.681,276
410,"1023482","Cam","Mackenzie","HAW","FWD",48.57,212.193,277
243,"1009380","Jeremy","Sharp","FRE","MID",0,213.395,278
576,"1017059","Josh","Gibcus","RIC","DEF",0,213.472,279
205,"291783","Dylan","Shiel","ESS","MID",69.42,213.789,280
753,"290801","Andrew","Gaff","WCE","MID",71.26,213.928,281
109,"1009241","Brodie","Kemp","CAR","DEF",73.07,214.754,282
527,"991930","Darcy","Byrne-Jones","PTA","FWD",69.76,215.278,283
366,"295265","Nick","Haynes","GWS","DEF",73,216.303,284
704,"1017126","Sam","Darcy","WBD","FWD",19.33,216.375,285
123,"298290","Marc","Pittonet","CAR","RUC",70.2,216.712,286
549,"993979","Sam","Powell-Pepper","PTA","FWD",67,217.482,287
448,"298264","Ed","Langdon","MEL","MID",72.48,217.6,288
343,"292511","Zach","Tuohy","GEE","MID",72.45,218.169,289
53,"1000932","Tom","Doedee","BRL","DEF",68.09,218.707,290
339,"280317","Rhys","Stanley","GEE","RUC",71.08,218.757,291
628,"1006143","Max","King","STK","FWD",61.1,219.217,292
406,"998390","Changkuoth","Jiath","HAW","DEF",62.25,219.98,293
61,"291548","Ryan","Lester","BRL","DEF",72.56,220.114,294
308,"1023537","Jhye","Clark","GEE","MID",13,220.567,295
556,"992330","Jordon","Sweet","PTA","RUC",0,220.618,296
674,"1008198","Tom","McCartin","SYD","DEF",71.36,221.268,297
574,"1009226","Thomson","Dow","RIC","MID",57,221.979,298
12,"999331","Darcy","Fogarty","ADE","FWD",68.1,222.828,299
266,"295446","Sam","Collins","GCS","DEF",73,222.943,300
400,"1012857","Jack","Ginnivan","HAW","FWD",52.64,223.327,301
676,"1011936","Justin","McInerney","SYD","MID",72.17,223.472,302
577,"990827","Jack","Graham","RIC","FWD",66.35,224.721,303
178,"1015810","Sam","Durham","ESS","MID",65.23,225.732,304
185,"297452","Nick","Hind","ESS","DEF",69.88,225.735,305
247,"992059","Sam","Switkowski","FRE","FWD",67.68,225.796,306
284,"996464","Darcy","Macpherson","GCS","DEF",71.3,225.957,307
290,"1027033","Ethan","Read","GCS","RUC",0,226.25,308
29,"1012218","Luke","Pedlar","ADE","FWD",55.81,226.491,309
745,"290826","Jamie","Cripps","WCE","FWD",69.17,226.616,310
619,"990840","Jack","Hayes","STK","FWD",51,226.875,311
554,"1017078","Josh","Sinn","PTA","MID",21.67,227.4,312
435,"1012825","Jake","Bowey","MEL","DEF",69.67,228.204,313
260,"1008882","Charlie","Ballard","GCS","DEF",71.91,228.383,314
305,"998260","Jack","Bowes","GEE","DEF",61.18,228.533,315
259,"294472","Rory","Atkins","GCS","DEF",72.29,228.651,316
757,"1023167","Brady","Hough","WCE","DEF",62.73,229.389,317
746,"1020802","Jai","Culley","WCE","MID/FWD",43.2,229.458,318
135,"998647","Mason","Cox","COL","RUC/FWD",63.5,229.676,319
211,"298289","Peter","Wright","ESS","FWD",64.4,229.696,320
421,"1001024","Ned","Reeves","HAW","RUC",67.19,230.542,321
700,"1005717","Nick","Coffield","WBD","DEF",0,231.128,322
685,"1012210","Matt","Roberts","SYD","MID",31.17,231.538,323
616,"1002256","Paddy","Dow","STK","MID",55,231.7,324
735,"992351","Bailey","Williams","WBD","MID",70.04,232.512,325
510,"280737","Liam","Shiels","NTH","MID",70.19,232.765,326
191,"298280","Jayden","Laverde","ESS","DEF",72.26,234.786,327
670,"997142","Peter","Ladhams","SYD","RUC",69.67,234.833,328
40,"1008384","Riley","Thilthorpe","ADE","FWD",59.43,234.88,329
125,"1001028","Jack","Silvagni","CAR","FWD",68.88,235.071,330
145,"1006148","Bobby","Hill","COL","FWD",57.14,239.372,331
522,"1009191","Miles","Bergman","PTA","DEF",65.86,240.156,332
480,"1015781","Charlie","Comben","NTH","FWD",45.14,240.714,333
687,"1020339","Angus","Sheldrick","SYD","MID",60,241.867,334
718,"990740","Rory","Lobb","WBD","FWD",67.05,242.339,335
512,"1004848","Dylan","Stephens","NTH","MID",58,243.333,336
472,"1017720","Jacob","van Rooyen","MEL","FWD",65.11,244.723,337
612,"1002264","Hunter","Clark","STK","MID",63.06,248.562,338
756,"1020670","Elijah","Hewett","WCE","MID/FWD",45.57,249.871,339
24,"1000998","Lachlan","Murphy","ADE","FWD",68.18,250.109,340
761,"998791","Jamaine","Jones","WCE","DEF",68.46,250.742,341
468,"999391","Tom","Sparrow","MEL","MID",67.14,251.375,342
107,"1012862","Elijah","Hollands","CAR","MID",49.44,251.917,343
602,"1031829","James","Trezise","RIC","DEF",93,253,344
636,"293846","Sebastian","Ross","STK","MID",68.31,254.564,345
311,"1017063","Toby","Conway","GEE","RUC",46,254.828,346
226,"1020250","Neil","Erasmus","FRE","MID",42.64,255.684,347
335,"1007102","Mark","O'Connor","GEE","DEF/MID",66.73,256.103,348
665,"997100","Will","Hayward","SYD","FWD",66.86,258.151,349
231,"1016825","Matthew","Johnson","FRE","MID",54,259.026,350
479,"1000061","Callum","Coleman-Jones","NTH","FWD",44.78,259.308,351
543,"1004998","Todd","Marshall","PTA","FWD",66.05,260.209,352
460,"1008893","Harrison","Petty","MEL","DEF/FWD",60.64,261.387,353
481,"294508","Aidan","Corr","NTH","DEF",69.42,261.461,354
523,"250365","Travis","Boak","PTA","MID",65.63,263.361,355
310,"999326","Brad","Close","GEE","FWD",66.67,264.139,356
561,"1004034","Brandon","Zerk-Thatcher","PTA","DEF",67.14,265,357
158,"291849","Brody","Mihocek","COL","FWD",65.38,265.25,358
171,"1011954","Nick","Bryan","ESS","RUC",66.38,266.222,359
641,"1008312","Liam","Stocker","STK","DEF",67.64,268.433,360
507,"1011659","Tom","Powell","NTH","FWD",55.86,269.7,361
659,"291848","Robbie","Fox","SYD","DEF",67.16,269.808,362
324,"1012860","Oliver","Henry","GEE","FWD",59.55,270.52,363
55,"1023708","Jaspa","Fletcher","BRL","MID",51.55,271.483,364
