,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
416,Fwd,,,Anthony Caminiti,STK,No,-14.1,-41.4,,50,50.4,,,14.6,17,19,13035,1023784,CD_I1023784,,
417,Fwd,Mid,,James Jordon,SYD,Yes,-14.2,-41.5,,75,50.3,202,Trade: May receive midfield opportunity. Vest affected 2023.,22.8,17,22,12860,1013409,CD_I1013409,,
418,Fwd,,,Callum Coleman-Jones,NTH,No,-14.2,-41.5,,50,50.3,,,26,9,24,12730,1000061,CD_I1000061,,
419,Mid,,,Jaspa Fletcher,BRL,No,-29,-56.6,,50,50.3,,,17.3,11,19,13072,1023708,CD_I1023708,,
420,Fwd,,,Gary Rohan,GEE,No,-14.3,-41.6,,50,50.2,,,20.9,15,32,11842,291357,CD_I291357,,
421,Fwd,Mid,,Marlion Pickett,RIC,Yes,-14.3,-41.6,,50,50.2,,,20,21,31,12761,993771,CD_I993771,,
422,Fwd,,,Bobby Hill,COL,No,-14.4,-41.7,,50,50.1,,,19.9,21,23,12744,1006148,CD_I1006148,,
423,Fwd,,,Jesse Motlop,CAR,No,-14.8,-42.1,,50,49.7,,,14.7,18,20,12990,1017700,CD_I1017700,,
424,Def,,,Sam Frost,HAW,No,-21.8,-49.8,,50,49.6,,,13.9,18,30,12119,293738,CD_I293738,,
425,Fwd,,,Corey Durdin,CAR,No,-15,-42.3,,50,49.5,,,8.2,11,21,12936,1008510,CD_I1008510,,
426,Def,,,Jack Henry,GEE,No,-21.9,-49.9,,50,49.5,,Interrupted pre-season: Foot injury.,17.3,11,25,12607,1000937,CD_I1000937,,
427,Fwd,,,Michael Walters,FRE,No,-15.1,-42.4,,50,49.4,,,19.7,20,32,11763,281007,CD_I281007,,
428,Fwd,Mid,,Nat Fyfe,FRE,Yes,-15.2,-42.5,,75,49.3,136,Fwd Punt: Midfield role in 2024.,19.5,9,32,11834,291570,CD_I291570,,
429,Fwd,,,Ryan Maric,WCE,No,-15.2,-42.5,,50,49.3,,,11.5,10,19,13070,1029416,CD_I1029416,,
430,Def,,,Brandon Starcevich,BRL,No,-22.1,-50.1,,50,49.3,,,14.9,23,24,12668,1002401,CD_I1002401,,
431,Def,,,Jake Kolodjashnij,GEE,No,-22.1,-50.1,,50,49.3,,,12.6,19,28,12370,296291,CD_I296291,,
432,Mid,,,Sam Berry,ADE,No,-30.1,-57.7,,60,49.2,318,,9.1,4,21,12849,1012807,CD_I1012807,,
433,Fwd,,,Mabior Chol,HAW,No,-15.5,-42.8,,50,49,,,17.8,8,26,12485,994077,CD_I994077,,
434,Def,,,Oleg Markov,COL,No,-22.4,-50.4,,50,49,,,22.2,20,27,12459,298358,CD_I298358,,
435,Def,,,Mac Andrew,GCS,No,-22.5,-50.5,,50,48.9,,,20.5,17,20,13019,1017396,CD_I1017396,,
436,Fwd,,,Jacob Koschitzke,RIC,No,-15.7,-43,,50,48.8,,,16.8,12,23,12859,1006030,CD_I1006030,,
437,Fwd,,,Jake Melksham,MEL,No,-15.7,-43,,50,48.8,,"Injury: knee , may miss early rounds.",24.7,13,32,11820,280824,CD_I280824,,
438,Fwd,,,Cam Mackenzie,HAW,No,-15.9,-43.2,,50,48.6,225,,25.2,14,19,13031,1023482,CD_I1023482,,
439,Fwd,Mid,,Anthony Scott,WBD,Yes,-16,-43.3,,50,48.5,,,14.7,22,28,12855,992048,CD_I992048,,
440,Def,,,Jordan Boyd,CAR,No,-22.9,-50.9,,50,48.5,,,6.2,8,25,12965,1002795,CD_I1002795,,
441,Fwd,,,James Peatling,GWS,No,-16.3,-43.6,,50,48.2,,,18,10,23,12934,1006013,CD_I1006013,,
442,Def,,,Alex Cincotta,CAR,No,-23.3,-51.3,,50,48.1,,,20.1,16,26,13055,1016268,CD_I1016268,,
443,Fwd,,,Shannon Neale,GEE,No,-16.5,-43.8,,50,48,,,17.7,3,21,12992,1016433,CD_I1016433,,
444,Ruck,,,Toby Conway,GEE,No,-34.7,-54.3,,50,48,,,,1,20,13094,1017063,CD_I1017063,,
445,Fwd,,,Jye Amiss,FRE,No,-16.6,-43.9,,50,47.9,,,19.1,22,20,12983,1020594,CD_I1020594,,
446,Def,,,Sam De Koning,GEE,No,-23.5,-51.5,,50,47.9,,,14.2,19,22,12891,1009229,CD_I1009229,,
447,Fwd,,,Bailey Banfield,FRE,No,-17,-44.3,,50,47.5,,,25.1,14,25,12588,998180,CD_I998180,,
448,Fwd,Mid,,Jack Mahony,GCS,Yes,-17,-44.3,,50,47.5,,,21.9,2,22,12787,1009189,CD_I1009189,,
449,Fwd,,,Sam Weideman,ESS,No,-17.1,-44.4,,45,47.4,,,22.7,16,26,12475,993806,CD_I993806,,
450,Mid,,,Luke Edwards,WCE,No,-32.2,-59.8,,45,47.1,,,18.2,14,21,12911,1006576,CD_I1006576,,
451,Fwd,,,Finlay Macrae,COL,No,-17.5,-44.8,,70,47,164,Fwd Punt: Wing/Midfielder - Looks to see more game time in 2024,,1,21,12888,1012828,CD_I1012828,,
452,Def,,,Daniel Turner,MEL,No,-24.4,-52.4,,45,47,,Injury: Femur stress fracture.,8.5,2,21,12996,1020959,CD_I1020959,,
453,Def,,,Jai Serong,HAW,No,-24.4,-52.4,,45,47,,,19.8,2,20,13022,1017091,CD_I1017091,,
454,Mid,,,Cooper Hamilton,GWS,No,-32.3,-59.9,,45,47,,,22.1,4,20,12981,1017093,CD_I1017093,,
455,Fwd,Mid,,James Harmes,WBD,Yes,-17.7,-45,,70,46.8,209,Trade: May see more opportunity at WBD. Half forward/Mid rotation.,28,9,28,12379,297899,CD_I297899,,
456,Fwd,Ruck,,Samson Ryan,RIC,Yes,-17.9,-45.2,,45,46.6,,,20.9,14,22,12918,1012386,CD_I1012386,,
457,Fwd,,,Noah Long,WCE,No,-18,-45.3,,45,46.5,,,13.4,19,19,13037,1023496,CD_I1023496,,
458,Def,,,Jack Payne,BRL,No,-24.9,-52.9,,45,46.5,,Interrupted 2023 with syndesmosis. Available for 2024.,16.6,22,24,12819,1002347,CD_I1002347,,
459,Def,,,Josh Rotham,WCE,No,-25,-53,,45,46.4,,Interrupted pre-season: Coming back from groin injury.,21.5,13,25,12709,997823,CD_I997823,,
460,Fwd,Mid,,Elijah Hewett,WCE,Yes,-18.2,-45.5,,45,46.3,238,Injury: Toe/foot likely to miss opening month of season,21.8,14,19,13044,1020670,CD_I1020670,,
461,Def,,,Judd McVee,MEL,No,-25.3,-53.3,,45,46.1,,,12.4,23,20,13033,1017703,CD_I1017703,,
462,Fwd,,,Elliott Himmelberg,ADE,No,-18.5,-45.8,,45,46,,,14.2,3,25,12675,1005199,CD_I1005199,,
463,Fwd,,,Ash Johnson,COL,No,-18.8,-46.1,,45,45.7,,,17.4,15,26,13013,997974,CD_I997974,,
464,Fwd,,,Jack Ginnivan,HAW,No,-18.8,-46.1,,45,45.7,,,21.6,11,20,12927,1012857,CD_I1012857,,
465,Def,,,Tom McCartin,SYD,No,-25.7,-53.7,,45,45.7,,,16.7,14,23,12627,1008198,CD_I1008198,,
466,Fwd,,,Ben King,GCS,No,-19,-46.3,,45,45.5,,"Injury/Interrupted preseason: knee, may not be ready for opening rounds.",23.3,20,23,12728,1006144,CD_I1006144,,
467,Fwd,,,Charlie Spargo,MEL,No,-19,-46.3,,45,45.5,,Injury/Interrupted preseason (Minor): achilles soreness.,20,13,24,12622,1002282,CD_I1002282,,
468,Fwd,Ruck,,Ben Miller,RIC,Yes,-19.1,-46.4,,45,45.4,,,22,13,24,12941,1002403,CD_I1002403,,
469,Fwd,Ruck,,Darcy Fort,BRL,Yes,-19.2,-46.5,,45,45.3,,,26.4,7,30,12724,298211,CD_I298211,,
470,Fwd,,,Quinton Narkle,PTA,No,-19.2,-46.5,,45,45.3,,,11.6,3,26,12651,999824,CD_I999824,,
471,Fwd,,,Malcolm Rosas,GCS,No,-19.3,-46.6,,45,45.2,,,14.6,19,22,12903,1005986,CD_I1005986,,
472,Def,,,Miller Bergman,NTH,No,-26.5,-54.5,,45,44.9,,,15.8,12,20,12979,1017095,CD_I1017095,,
473,Fwd,,,Cooper Harvey,NTH,No,-19.8,-47.1,,45,44.7,,,20.2,3,19,13077,1020979,CD_I1020979,,
474,Def,,,Lachie Jones,PTA,No,-26.8,-54.8,,45,44.6,,,21,13,21,12882,1011583,CD_I1011583,,
475,Fwd,,,Ned McHenry,ADE,No,-20,-47.3,,45,44.5,,,21.8,11,23,12775,1008185,CD_I1008185,,
476,Fwd,,,Cooper Sharman,STK,No,-20.1,-47.4,,45,44.4,,,21,15,23,12929,1018018,CD_I1018018,,
477,Def,,,Alex Pearce,FRE,No,-27.2,-55.2,,45,44.2,,,15.8,23,28,12352,298409,CD_I298409,,
478,Def,,,Nathan Murphy,COL,No,-27.2,-55.2,,45,44.2,,,14.8,21,23,12673,1005107,CD_I1005107,,
479,Def,Mid,,Nik Cox,ESS,Yes,-27.2,-55.2,,45,44.2,,Role: may have a half back role in 2024. Keep watch.,13,6,21,12852,1015827,CD_I1015827,,
480,Def,,,Lloyd Johnston,GCS,No,-27.4,-55.4,,45,44,,,15.6,2,19,13092,1024666,CD_I1024666,,
481,Fwd,,,Paul Curtis,NTH,No,-20.6,-47.9,,45,43.9,,,17.1,21,20,12975,1002947,CD_I1002947,,
482,Fwd,,,Jye Menzie,ESS,No,-20.7,-48,,45,43.8,,,17,21,21,13017,1013201,CD_I1013201,,
483,Def,,,Ben Long,GCS,No,-27.6,-55.6,,45,43.8,,,12,15,26,12521,993917,CD_I993917,,
484,Def,,,Joel Hamling,SYD,No,-27.6,-55.6,,45,43.8,,,15.7,4,30,12359,295222,CD_I295222,,
485,Ruck,,,Aiden Begg,COL,No,-39,-58.6,,45,43.7,,,,3,21,12977,1015748,CD_I1015748,,
486,Def,,,Patrick Parnell,ADE,No,-27.8,-55.8,,45,43.6,,,44.8,5,21,12995,1013153,CD_I1013153,,
487,Fwd,,,Noah Cumberland,RIC,No,-21.3,-48.6,,45,43.2,,,33.2,9,22,12993,1009308,CD_I1009308,,
488,Fwd,,,Jack Hayes,STK,No,-21.5,-48.8,,45,43,,"Interrupted pre-season (Major): Coming off knee surgery, won't play early.",,1,27,12949,990840,CD_I990840,,
489,Def,,,Jaxon Prior,BRL,No,-28.4,-56.4,,45,43,,,24.1,5,22,12874,1009386,CD_I1009386,,
490,Mid,,,Finn Maginness,HAW,No,-36.3,-63.9,,45,43,,,12.8,13,22,12843,1009421,CD_I1009421,,
491,Fwd,,,Sam Sturt,FRE,No,-21.6,-48.9,,45,42.9,,Interrupted pre-season,17.8,14,23,12765,1013611,CD_I1013611,,
492,Def,,,Liam Jones,WBD,No,-28.8,-56.8,,45,42.6,,,19.9,18,32,11866,281078,CD_I281078,,
493,Def,,,Trent McKenzie,PTA,No,-28.9,-56.9,,45,42.5,,,15.3,17,31,11912,290527,CD_I290527,,
494,Mid,,,Campbell Chesser,WCE,No,-36.8,-64.4,,45,42.5,,,13,14,20,13039,1017057,CD_I1017057,,
495,Def,,,Sean Lemmens,GCS,No,-29.1,-57.1,,40,42.3,,,15.7,11,29,12234,294013,CD_I294013,,
496,Ruck,,,Lachlan McAndrew,SYD,No,-40.7,-60.3,,40,42,,,33.9,2,23,13065,1021200,CD_I1021200,,
497,Def,,,Kaine Baldwin,ESS,No,-29.4,-57.4,,40,42,,,30.2,4,21,12944,1008975,CD_I1008975,,
498,Def,,,Massimo D'Ambrosio,HAW,No,-29.6,-57.6,,50,41.8,,,27.9,8,20,12998,1005144,CD_I1005144,,
499,Def,,,Aaron Francis,SYD,No,-29.9,-57.9,,40,41.5,,,16.8,15,26,12467,990816,CD_I990816,,
500,Fwd,,,Jed McEntee,PTA,No,-23.2,-50.5,,40,41.3,,,12.1,20,22,12924,1004819,CD_I1004819,,
501,Fwd,,,Matthew Taberner,FRE,No,-23.3,-50.6,,45,41.2,,Role: May not get games as Dockers third preferred tall forward.,4.8,4,30,12205,293854,CD_I293854,,
502,Fwd,,,Rhyan Mansell,RIC,No,-23.3,-50.6,,40,41.2,,"Injury: Syndesmosis, will not play opening round.",21.3,17,23,12883,1008478,CD_I1008478,,
503,Fwd,,,Charlie Comben,NTH,No,-23.4,-50.7,,40,41.1,,,29.6,7,22,12938,1015781,CD_I1015781,,
504,Fwd,Mid,,Jai Culley,WCE,Yes,-23.5,-50.8,,40,41,,Interrupted preseason: Coming off an ACL,26,5,20,13015,1020802,CD_I1020802,,
505,Def,,,Lewis Melican,SYD,No,-30.5,-58.5,,40,40.9,,,16.2,7,27,12526,996743,CD_I996743,,
506,Def,,,Lachlan Cowan,CAR,No,-30.5,-58.5,,40,40.9,,,4.5,7,19,13028,1021353,CD_I1021353,,
507,Def,,,Esava Ratugolea,PTA,No,-30.9,-58.9,,40,40.5,,,20.1,16,25,12597,1002220,CD_I1002220,,
508,Fwd,,,Callum Jamieson,WCE,No,-24.3,-51.6,,40,40.2,,,21.1,4,23,12961,1011243,CD_I1011243,,
509,Def,,,Jed Bews,GEE,No,-31.3,-59.3,,40,40.1,,,15.9,15,29,12278,293883,CD_I293883,,
510,Def,,,Nick Murray,ADE,No,-31.5,-59.5,,40,39.9,,"Injury: Knee, miss up to half way through 2024 season.",16.7,17,22,12872,1008230,CD_I1008230,,
511,Ruck,,,Dante Visentini,PTA,No,-43,-62.6,,40,39.7,,,26.6,3,20,13073,1017128,CD_I1017128,,
512,Fwd,,,Judson Clarke,RIC,No,-24.8,-52.1,,40,39.7,,,20.2,13,20,12997,1017043,CD_I1017043,,
513,Fwd,,,Harvey Harrison,COL,No,-25,-52.3,,40,39.5,,,24,4,20,13068,1015332,CD_I1015332,,
514,Def,,,Darcy Gardiner,BRL,No,-31.9,-59.9,,40,39.5,,,2.1,2,28,12267,296269,CD_I296269,,
515,Fwd,Def,,Zaine Cordy,STK,Yes,-25.3,-52.6,,41,39.2,,,22.4,13,27,12392,991939,CD_I991939,,
516,Fwd,,,Francis Evans,PTA,No,-25.5,-52.8,,40,39,,,26,10,22,12873,1017255,CD_I1017255,,
517,Def,,,James Borlase,ADE,No,-32.4,-60.4,,40,39,,,35.4,4,21,13086,1009029,CD_I1009029,,
518,Def,,,Hugo Ralphsmith,RIC,No,-32.5,-60.5,,40,38.9,,,25.4,13,22,12902,1011985,CD_I1011985,,
519,Mid,,,Ryan Angwin,GWS,No,-40.4,-68,,40,38.9,,,20.1,15,20,13001,1015777,CD_I1015777,,
520,Def,,,Ryan Gardner,WBD,No,-32.6,-60.6,,40,38.8,,,18.4,10,26,12732,997501,CD_I997501,,
521,Fwd,,,Brandon Ryan,BRL,No,-25.8,-53.1,,40,38.7,,,31.8,3,26,13084,1012127,CD_I1012127,,
522,Fwd,Mid,,Deven Robertson,BRL,Yes,-25.9,-53.2,,40,38.6,,,22.6,13,22,12774,1009385,CD_I1009385,,
523,Def,,,Brandon Walker,FRE,No,-32.8,-60.8,,40,38.6,,Injury: may miss start of season with knee.,19.1,14,21,12914,1009410,CD_I1009410,,
524,Fwd,Mid,,Hewago Oea,GCS,Yes,-26,-53.3,,40,38.5,,,13.6,8,22,13010,1009320,CD_I1009320,,
525,Fwd,,,Taj Woewodin,MEL,No,-26,-53.3,,40,38.5,,,3.9,4,20,13076,1018425,CD_I1018425,,
526,Fwd,,,Noah Answerth,BRL,No,-26.3,-53.6,,40,38.2,,,25.5,4,24,12718,1005053,CD_I1005053,,
527,Fwd,,,Orazio Fantasia,CAR,No,-26.8,-54.1,,40,37.7,,,11,3,28,12302,296334,CD_I296334,,
528,Def,,,Karl Worner,FRE,No,-33.9,-61.9,,40,37.5,,,18.5,4,21,13075,1021015,CD_I1021015,,
529,Fwd,,,Jack Williams,WCE,No,-27.4,-54.7,,35,37.1,,,14.5,10,20,12962,1020371,CD_I1020371,,
530,Def,,,Dylan Grimes,RIC,No,-34.3,-62.3,,35,37.1,,Interrupted pre-season (Moderate): calf issues throughout preseason. Managed by club.,14.6,22,32,11879,280819,CD_I280819,,
531,Fwd,,,Riley Garcia,WBD,No,-27.5,-54.8,,35,37,,,17.4,3,22,12907,1006533,CD_I1006533,,
532,Def,,,Jy Farrar,GCS,No,-34.5,-62.5,,35,36.9,,,20.7,9,27,12848,999715,CD_I999715,,
533,Def,,,Tylar Young,RIC,No,-34.5,-62.5,,35,36.9,,,13.8,19,25,13043,1018433,CD_I1018433,,
534,Def,,,Darragh Joyce,BRL,No,-35.4,-63.4,,35,36,,,13,5,26,12654,1003520,CD_I1003520,,
535,Mid,,,Jhye Clark,GEE,No,-43.3,-70.9,,35,36,283,,,1,19,13062,1023537,CD_I1023537,,
536,Fwd,Mid,,Jackson Mead,PTA,Yes,-28.6,-55.9,,35,35.9,,,12.9,7,22,12946,1005326,CD_I1005326,,
537,Fwd,,,Alwyn Davey Jnr,ESS,No,-28.7,-56,,50,35.8,,Role: Monitor pre-season for role change off half back,17,10,19,13030,1017933,CD_I1017933,,
538,Def,,,Jase Burgoyne,PTA,No,-35.6,-63.6,,35,35.8,,,20.9,5,20,13007,1013462,CD_I1013462,,
539,Fwd,,,Tyler Sonsie,RIC,No,-28.8,-56.1,,35,35.7,,Suspension: 2 games.,22.7,3,20,13014,1017114,CD_I1017114,,
540,Fwd,,,Josh Corbett,FRE,No,-29.3,-56.6,,35,35.2,,"Injury: hip, will miss start of season",16.5,5,27,12719,1005547,CD_I1005547,,
541,Fwd,,,Ollie Lord,PTA,No,-29.5,-56.8,,35,35,,,12.7,11,21,13056,1012881,CD_I1012881,,
542,Fwd,,,Sam Day,GCS,No,-29.5,-56.8,,35,35,,,30.8,3,31,11947,291753,CD_I291753,,
543,Fwd,,,Joel Smith,MEL,No,-29.7,-57,,35,34.8,,Suspension: provisional.,18.3,12,27,12493,1003546,CD_I1003546,,
544,Def,,,Kallan Dawson,NTH,No,-37.4,-65.4,,35,34,,,,1,25,13018,1012144,CD_I1012144,,
545,Mid,,,Jack Bytel,COL,No,-45.3,-72.9,,60,34,,,,,,,1002922,CD_I1002922,,
546,Fwd,,,Arthur Jones,WBD,No,-30.8,-58.1,,35,33.7,,,15.9,13,20,13046,1020586,CD_I1020586,,
547,Mid,,,Josh Fahey,GWS,No,-45.6,-73.2,,35,33.7,,,24.9,7,20,13067,1017751,CD_I1017751,,
548,Def,,,Harry Edwards,WCE,No,-37.9,-65.9,,35,33.5,,,10.6,2,23,12811,1011437,CD_I1011437,,
549,Def,,,Jordon Butts,ADE,No,-38,-66,,35,33.4,,,17.7,17,23,12829,1004995,CD_I1004995,,
550,Fwd,Mid,,Charlie Lazzaro,NTH,Yes,-31.2,-58.5,,70,33.3,186,"Fwd Punt: Praise from the club, may play midfield.",37.6,6,21,12865,1012852,CD_I1012852,,
551,Fwd,,,Matthew Coulthard,RIC,No,-31.3,-58.6,,35,33.2,,,16.3,4,22,13083,1008616,CD_I1008616,,
552,Fwd,,,Tom Berry,GCS,No,-31.5,-58.8,,35,33,,,20.6,6,23,12780,1006100,CD_I1006100,,
553,Fwd,,,Oliver Dempsey,GEE,No,-31.7,-59,,35,32.8,,,31.6,5,20,12974,1025034,CD_I1025034,,
554,Def,,,Jackson Archer,NTH,No,-38.6,-66.6,,35,32.8,,Interrupted pre-season: injury groin.,12.7,5,20,13004,1020968,CD_I1020968,,
555,Fwd,,,Kai Lohmann,BRL,No,-32.2,-59.5,,30,32.3,,,22.9,6,20,12968,1014026,CD_I1014026,,
556,Fwd,,,Lachlan Keeffe,GWS,No,-32.2,-59.5,,30,32.3,,,16.6,11,33,11991,290314,CD_I290314,,
557,Def,,,Luke Cleary,WBD,No,-40.4,-68.4,,30,31,,,,1,21,12987,1015929,CD_I1015929,,
558,Mid,,,Matt Roberts,SYD,No,-48.5,-76.1,,65,30.8,321,Role: linked to move to backline by ruck coach Dean Cox.,20.7,6,20,12994,1012210,CD_I1012210,,
559,Def,,,Oisin Mullin,GEE,No,-40.6,-68.6,,30,30.8,,,20.3,6,23,13066,1024982,CD_I1024982,,
560,Def,,,Bodhi Uwland,GCS,No,-40.7,-68.7,,30,30.7,,,35.6,3,20,13041,1017665,CD_I1017665,,
561,Fwd,,,Max Ramsden,HAW,No,-34,-61.3,,30,30.5,,,3.5,2,20,13058,1027965,CD_I1027965,,
562,Mid,,,Zane Trew,WCE,No,-48.8,-76.4,,30,30.5,,,5.4,4,21,13008,1011449,CD_I1011449,,
563,Def,,,Rhett Bazzo,WCE,No,-41.1,-69.1,,30,30.3,,,15.2,11,20,13000,1017718,CD_I1017718,,
564,Fwd,,,Maurice Rioli,RIC,No,-34.8,-62.1,,30,29.7,,,12.5,10,21,12935,1009551,CD_I1009551,,
565,Mid,,,Harry Rowston,GWS,No,-49.9,-77.5,,30,29.4,,,13.3,7,19,13045,1021122,CD_I1021122,,
566,Mid,,,Jacob Wehr,GWS,No,-50.5,-78.1,,30,28.8,,,19.4,4,25,12991,1004530,CD_I1004530,,
567,Fwd,,,Lachlan McNeil,WBD,No,-37,-64.3,,30,27.5,,,16.6,13,22,12854,1009015,CD_I1009015,,
568,Fwd,,,Blake Drury,NTH,No,-38.3,-65.6,,25,26.2,,,18.6,4,19,13060,1023475,CD_I1023475,,
569,Fwd,Def,,Adam Kennedy,GWS,Yes,-38.5,-65.8,,55,26,,"Interrupted pre-season: knee ACL, will miss start of the season.",17,5,31,12031,291509,CD_I291509,,
570,Fwd,Def,,Denver Grainger-Barras,HAW,Yes,-38.6,-65.9,,32,25.9,,"Injury: Toe, missing 12 - 14 weeks.",17.8,7,21,12920,1013093,CD_I1013093,,
571,Fwd,,,James Tsitas,GCS,No,-38.7,-66,,25,25.8,,,16.6,4,28,13009,296280,CD_I296280,,
572,Fwd,,,Toby McMullin,GWS,No,-38.8,-66.1,,25,25.7,,,17.5,3,19,13088,1027971,CD_I1027971,,
573,Fwd,,,Josh Schache,MEL,No,-39.5,-66.8,,25,25,,,24,2,26,12416,993841,CD_I993841,,
